inventory_id,inventory_location,item_id,item_category,company,target_audience,no_items_recieved,no_items_remaining,date_recieved,selling_price,release_year,demand_factor,net_profit(%),num_days,currently_inventory,date_sent,inventory_sent
id_101,Bangalore,id_105,Processor,AMD,Personal,28,28,12-09-2018,44163,2018,36,13.95,61,1,,
id_101,Bangalore,id_109,Monitor,Dell,Offices,83,52,26-07-2018,51372,2016,46,12.84,109,1,,
id_101,Bangalore,id_113,Processor,Intel,Personal,38,30,08-10-2018,35483,2017,19,4.44,35,1,,
id_101,Bangalore,id_117,Mobile,Oppo,Personal,92,6,14-08-2018,22884,2014,27,9.74,90,1,,
id_101,Bangalore,id_121,Processor,Intel,Offices,5,2,13-09-2018,95818,2017,27,8.53,60,1,,
id_101,Bangalore,id_125,Processor,Samsung,Personal,39,35,11-10-2018,62827,2018,44,5.02,32,1,,
id_101,Bangalore,id_129,Laptop,Samsung,Offices,83,38,06-10-2018,17226,2017,60,4.78,37,1,,
id_101,Bangalore,id_133,Monitor,Dell,Personal,57,50,11-08-2018,86798,2015,61,9.6,93,1,,
id_101,Bangalore,id_137,Laptop,Samsung,Offices,22,7,26-08-2018,6533,2016,65,6.31,78,1,,
id_101,Bangalore,id_141,Mobile,Apple,Personal,54,49,30-08-2018,85396,2014,37,11.87,74,1,,
id_101,Bangalore,id_145,Processor,Intel,Offices,62,35,30-07-2018,23241,2014,65,12.34,105,1,,
id_101,Bangalore,id_149,Processor,Samsung,Personal,49,22,29-07-2018,2457,2017,63,11.87,106,1,,
id_101,Bangalore,id_153,Laptop,Google,Personal,34,24,25-07-2018,56887,2013,25,9.09,110,1,,
id_101,Bangalore,id_157,Laptop,Samsung,Personal,27,16,09-08-2018,88777,2014,57,6.66,95,1,,
id_101,Bangalore,id_161,Processor,AMD,Personal,57,39,28-09-2018,23799,2014,13,5.8,45,1,,
id_101,Bangalore,id_165,Laptop,Google,Personal,92,87,21-08-2018,19584,2016,18,13.86,83,1,,
id_101,Bangalore,id_169,Processor,Samsung,Personal,99,67,17-09-2018,946,2017,45,13.05,56,1,,
id_101,Bangalore,id_173,Keyboard,Dell,Personal,80,64,30-08-2018,68156,2013,23,10.54,74,1,,
id_101,Bangalore,id_177,Mobile,Google,Personal,7,3,19-09-2018,37032,2017,64,13.99,54,1,,
id_101,Bangalore,id_181,Laptop,Apple,Offices,77,60,18-08-2018,42885,2013,18,9.81,86,1,,
id_101,Bangalore,id_185,Mobile,Oppo,Personal,6,5,30-08-2018,83608,2018,54,5.47,74,1,,
id_101,Bangalore,id_189,Processor,Samsung,Offices,54,44,10-08-2018,60935,2013,23,6.08,94,1,,
id_101,Bangalore,id_193,Monitor,Apple,Personal,30,8,30-07-2018,62945,2018,7,6.31,105,1,,
id_101,Bangalore,id_197,Processor,AMD,Offices,39,31,03-09-2018,96897,2013,56,13.75,70,1,,
id_101,Bangalore,id_201,Monitor,Dell,Personal,39,12,04-09-2018,49058,2013,64,14.07,69,1,,
id_101,Bangalore,id_205,Keyboard,Apple,Personal,5,2,29-07-2018,36240,2016,46,10.7,106,1,,
id_101,Bangalore,id_209,Mobile,Apple,Personal,10,1,13-08-2018,58848,2016,51,14.76,91,1,,
id_101,Bangalore,id_213,Processor,AMD,Offices,94,85,27-09-2018,16378,2013,41,6.79,46,1,,
id_101,Bangalore,id_217,Processor,Intel,Offices,82,30,09-09-2018,80555,2016,37,10.13,64,1,,
id_101,Bangalore,id_221,Laptop,Samsung,Personal,2,1,17-09-2018,24922,2014,25,8.61,56,1,,
id_101,Bangalore,id_225,Monitor,Dell,Personal,1,1,18-09-2018,29346,2014,29,8.81,55,1,,
id_101,Bangalore,id_229,Monitor,Dell,Offices,64,52,06-08-2018,89851,2013,7,6.37,98,1,,
id_101,Bangalore,id_233,Keyboard,Apple,Personal,70,27,10-10-2018,35842,2015,35,10.65,33,1,,
id_101,Bangalore,id_237,Laptop,Dell,Personal,29,9,29-09-2018,30450,2015,10,8.32,44,1,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
